macroarea,Phoneme,SegmentClass,freq,phoible_freq,delta,freq_phoible_no_macroarea
Africa,˥˨,tone,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,˥˨˧,tone,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,˦˦˨,tone,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,˦˨˦,tone,0.005649717514124294,0.0016556291390728477,0.003994088375051446,NA
Africa,˦˨˨,tone,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,˦↓˦,tone,0.003389830508474576,9.933774834437086e-4,0.0023964530250308678,NA
Africa,˧˥˨,tone,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,˧˦˧,tone,0.0022598870056497176,6.622516556291391e-4,0.0015976353500205785,NA
Africa,˨˥˩,tone,0.0022598870056497176,6.622516556291391e-4,0.0015976353500205785,NA
Africa,˨˦˦,tone,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,˨˦˧,tone,0.0022598870056497176,6.622516556291391e-4,0.0015976353500205785,NA
Africa,˨˦˨,tone,0.005649717514124294,0.0016556291390728477,0.003994088375051446,NA
Africa,˨˧˨,tone,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,˨˨˦,tone,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,↓,tone,0.005649717514124294,0.0016556291390728477,0.003994088375051446,NA
Africa,↓˦,tone,0.012429378531073447,0.003642384105960265,0.008786994425113182,NA
Africa,↓˦˨,tone,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,↓˦↓˦,tone,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,å,vowel,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,a̠,vowel,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,a̙,vowel,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,ḁ,vowel,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,a̠ː,vowel,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,a̙ː,vowel,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,a̰ː,vowel,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,a̤ˑ,vowel,0.003389830508474576,9.933774834437086e-4,0.0023964530250308678,NA
Africa,a̰ˑ,vowel,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,aᴱ,vowel,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,æ̤,vowel,0.0022598870056497176,6.622516556291391e-4,0.0015976353500205785,NA
Africa,æ̤ː,vowel,0.0022598870056497176,6.622516556291391e-4,0.0015976353500205785,NA
Africa,æu,vowel,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,ae̞ˤ,vowel,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,ãẽ̞ˤ,vowel,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,aˠ,vowel,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,a̙ˠ,vowel,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,ao̞ˤ,vowel,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,ãõ̞ˤ,vowel,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,ãˤ,vowel,0.0022598870056497176,6.622516556291391e-4,0.0015976353500205785,NA
Africa,ãˤː,vowel,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,ɐ̹̆,vowel,0.0011299435028248588,0.0013245033112582781,-1.9455980843341935e-4,NA
Africa,ɐˤ,vowel,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,b̩,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,b̪,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,b͉,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,b͈ː,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,bɡ,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,b̤ʲ,consonant,0.0022598870056497176,6.622516556291391e-4,0.0015976353500205785,NA
Africa,br,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,bɾ,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,b̤v̤,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,bvʷ,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,bʷː,consonant,0.0022598870056497176,6.622516556291391e-4,0.0015976353500205785,NA
Africa,b̤z̤,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,bzʷ,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,bʼ,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
Africa,bˤː,consonant,0.0011299435028248588,3.3112582781456954e-4,7.988176750102893e-4,NA
